"event_id","event_name","event_date","year"
"1200","Marcialonga"," 2015-01-25 57 Km CT General ranking","2015"
"1201","Marcialonga Light","2015-01-25 33 Km CT General ranking","2015"
"1217","Birkebeinerrennet"," 2015-03-21 54 Km CT General ranking","2015"
"1229","Birkebeinerrennet FredagsBirken","2015-03-20 54 Km CT General ranking","2015"
"1230","Birkebeinerrennet HalvBirken","2015-03-15 28 Km CT General ranking","2015"
"1233","Bieg Piastow"," 2015-02-28 50 Km CT General ranking","2015"
"1234","Bieg Piastow"," 2015-03-01 25 Km CT General ranking","2015"
"1235","Bieg Piastow"," 2015-03-01 30 Km FT General ranking","2015"
"1236","Tartu Maraton Open Track","2015-02-08 63 Km FT General ranking","2015"
"1238","Tartu Maraton"," 2015-02-15 63 Km CT General ranking","2015"
"1239","Tartu Maraton"," 2015-02-15 31 Km CT General ranking","2015"
"1240","Tartu Maraton Open Track"," 2015-02-08 31 Km FT General ranking","2015"
"1241","Gatineau Loppet"," 2015-02-14 51 Km CT General ranking","2015"
"1242","Gatineau Loppet"," 2015-02-15 42 Km FT General ranking","2015"
"1243","Gatineau Loppet Short CL","2015-02-14 27 Km CT General ranking","2015"
"1244","Gatineau Loppet Short FT","2015-02-15 22,5 Km FT General ranking","2015"
"1245","Sapporo Int. Ski Marathon"," 2015-02-01 50 Km FT General ranking","2015"
"1246","Sapporo Int. Ski Marathon Short","2015-02-01 25 Km FT General ranking","2015"
"1249","American Birkebeiner"," 2015-02-21 50 Km FT General ranking","2015"
"1250","American Birkebeiner"," 2015-02-21 54 Km CT General ranking","2015"
"1251","American Birkebeiner Korteloppet","2015-02-21 25 Km FT General ranking","2015"
"1253","Dolomitenlauf"," 2015-01-18 42 Km FT General ranking","2015"
"1254","Dolomitenlauf"," 2015-01-17 42 Km CT General ranking","2015"
"1255","Dolomitenlauf"," 2015-01-17 20 Km CT General ranking","2015"
"1256","Dolomitenlauf"," 2015-01-18 20 Km FT General ranking","2015"
"1257","La Transjurassienne La Transju’Classic","2015-02-07 56 Km CT General ranking","2015"
"1262","König Ludwig Lauf"," 2015-01-31 46 km FT General ranking","2015"
"1263","König Ludwig Lauf"," 2015-02-01 46 km CT General ranking","2015"
"1264","König Ludwig Lauf"," 2015-01-31 23 Km FT General ranking","2015"
"1265","König Ludwig Lauf"," 2015-02-01 23 Km CT General ranking","2015"
"1266","Demino Ski Marathon"," 2015-03-14 50 Km FT General ranking","2015"
"1267","Demino Ski Marathon"," 2015-03-15 25 Km CT General ranking","2015"
"1268","Engadin Skimarathon"," 2015-03-08 42 Km FT General ranking","2015"
"1269","Engadin Skimarathon Halb Marathon","2015-03-08 21 Km FT General ranking","2015"
"1270","Engadin Skimarathon Frauenlauf","2015-03-01 17 Km CT General ranking","2015"
"1271","Finlandia-hiihto"," 2015-02-21 50 Km CT General ranking","2015"
"1272","Finlandia-hiihto"," 2015-02-22 50 Km FT General ranking","2015"
"1273","Finlandia-hiihto"," 2015-02-21 32 Km CT General ranking","2015"
"1274","Finlandia-hiihto"," 2015-02-22 20 Km FT General ranking","2015"
"1275","Jizerská Padesatka"," 2015-01-11 50 Km CT General ranking","2015"
"1276","Jizerská Padesatka Jizerska25"," 2015-01-10 25 Km CT General ranking","2015"
"1277","Jizerská Padesatka Bedrichovska 30","2015-01-09 30 Km FT General ranking","2015"
"1281","Vasaloppet"," 2015-03-08 90 Km CT General ranking","2015"
"1282","Vasaloppet Öppet Spar","2015-03-01 90 Km CT General ranking","2015"
"1283","Vasaloppet Öppet Spar","2015-03-02 90 Km CT General ranking","2015"
"1284","Vasaloppet TjeiVasan","2015-02-28 30 Km CT General ranking","2015"
"1285","Vasaloppet KortVasan","2015-02-27 30 Km CT General ranking","2015"
"1286","Vasaloppet HalvVasan","2015-03-03 45 Km CT General ranking","2015"
"1294","Bieg Piastow Short","2016-03-04 25 Km CT General ranking","2016"
"1295","Bieg Piastow Short F","2016-03-06 28 Km FT General ranking","2016"
"1296","Marcialonga Main","2016-01-31 70 Km CT General ranking","2016"
"1297","Marcialonga Lavazeloppet","2016-01-28 17 km CT General ranking","2016"
"1298","Marcialonga Light","2016-01-31 45 Km CT General ranking","2016"
"1299","Jizerská Padesatka Bedrichovska 30","2016-01-08 12 Km FT General ranking","2016"
"1300","Jizerská Padesatka Jizerska25","2016-01-09 12 Km CT General ranking","2016"
"1301","Jizerská Padesatka Main 50km","2016-01-10 16 Km CT General ranking","2016"
"1302","Sapporo Int. Ski Marathon Short","2016-02-07 25 Km FT General ranking","2016"
"1303","Sapporo Int. Ski Marathon Main","2016-02-07 50 Km FT General ranking","2016"
"1304","Dolomitenlauf Main","2016-01-24 42 Km FT General ranking","2016"
"1305","Dolomitenlauf Lienz Lauf","2016-01-24 20 km FT General ranking","2016"
"1306","Dolomitenlauf CL","2016-01-23 42 Km CT General ranking","2016"
"1307","Dolomitenlauf classic","2016-01-23 20 Km CT General ranking","2016"
"1308","Vasaloppet Kortvasan","2016-02-26 30 Km CT General ranking","2016"
"1309","Vasaloppet TjejVasan","2016-02-27 30 Km CT General ranking","2016"
