"Position","Name","Age Group","Flag","time","Global ranking points","id"
"#1","PELLEGRIN Mattia",NA,NA,"0:36:04.7","N/A",1252
"#2","RIGONI Sergio",NA,NA,"0:36:05.1","N/A",1252
"#3","SALVADORI Giandomenico",NA,NA,"0:36:31.7","N/A",1252
"#4","MORANDINI Nicola",NA,NA,"0:37:10.1","N/A",1252
"#5","FANTON Paolo",NA,NA,"0:37:14.9","N/A",1252
"#6","BRIGADOI Mauro",NA,NA,"0:37:28.5","N/A",1252
"#7","BOCHKAREV Alexander",NA,NA,"0:39:22.9","N/A",1252
"#8","Ferrari Francesco",NA,NA,"0:39:37.9","N/A",1252
"#9","KHODYREV Dimitrii",NA,NA,"0:40:09.2","N/A",1252
"#10","Lintzén Johan",NA,NA,"0:40:21.5","N/A",1252
"#11","SILVIERO Andrea",NA,NA,"0:40:22.8","N/A",1252
"#12","OHLSTROM Erik",NA,NA,"0:40:39.4","N/A",1252
"#13","KEPLINGER Markus",NA,NA,"0:40:46.2","N/A",1252
"#14","GIOVANNINI Matteo",NA,NA,"0:40:55.3","N/A",1252
"#15","THUNVAN Peter",NA,NA,"0:41:10.0","N/A",1252
"#16","SEMBENINI Paolo",NA,NA,"0:41:14.4","N/A",1252
"#17","HAKKINEN Jussi",NA,NA,"0:41:15.0","N/A",1252
"#18","MICH Stefano",NA,NA,"0:41:16.8","N/A",1252
"#19","JÄRVINEN Jukka",NA,NA,"0:41:18.9","N/A",1252
"#20","GABRIELLI ROBERTO",NA,NA,"0:41:23.6","N/A",1252
"#21","DEMATTIO Diego",NA,NA,"0:41:28.1","N/A",1252
"#22","MASIERO GUIDO",NA,NA,"0:41:58.5","N/A",1252
"#23","KORBASOV Andrey",NA,NA,"0:42:01.7","N/A",1252
"#24","NICOLODI Gregorio",NA,NA,"0:42:13.0","N/A",1252
"#25","LIUKKONEN Kalle",NA,NA,"0:42:21.4","N/A",1252
"#26","CARRARO LORENZO",NA,NA,"0:42:23.6","N/A",1252
"#27","BERLANDA Silvano",NA,NA,"0:42:27.4","N/A",1252
"#28","CORRADIN Marco",NA,NA,"0:42:53.2","N/A",1252
"#29","Vainio Antti",NA,NA,"0:43:39.9","N/A",1252
"#30","SOMMAVILLA Paolo",NA,NA,"0:43:42.8","N/A",1252
"#31","COVI Mariano",NA,NA,"0:43:44.2","N/A",1252
"#32","Köhl Wolfgang",NA,NA,"0:43:48.4","N/A",1252
"#33","SCHWATZMEIER Felix",NA,NA,"0:44:03.8","N/A",1252
"#34","REDOLF Federico",NA,NA,"0:44:06.5","N/A",1252
"#35","OLSSON Christer",NA,NA,"0:44:30.2","N/A",1252
"#36","BAIOCCHI Leonardeo",NA,NA,"0:44:33.0","N/A",1252
"#37","VILLA Nicola",NA,NA,"0:44:36.3","N/A",1252
"#38","Vainio Eero-Matti",NA,NA,"0:44:43.6","N/A",1252
"#39","FEDEL Silvano",NA,NA,"0:44:50.3","N/A",1252
"#40","BENAMATI MICHELE",NA,NA,"0:44:51.2","N/A",1252
"#41","GOSS Sebastiano",NA,NA,"0:45:06.0","N/A",1252
"#42","KNAPEK Ladislav",NA,NA,"0:45:16.7","N/A",1252
"#43","LARGER Bruno",NA,NA,"0:45:18.7","N/A",1252
"#44","STRNAD Tomas",NA,NA,"0:45:20.3","N/A",1252
"#45","MICH Francesco",NA,NA,"0:45:26.9","N/A",1252
"#46","URBANEK Petr",NA,NA,"0:45:29.6","N/A",1252
"#47","ANDREOLLI LORENZO",NA,NA,"0:45:51.2","N/A",1252
"#48","VEDENIN Viacheslav",NA,NA,"0:46:04.8","N/A",1252
"#49","HAATANEN Kari",NA,NA,"0:46:08.7","N/A",1252
"#50","LORD Arne",NA,NA,"0:46:30.7","N/A",1252
"#51","NOVOTNY Ludek",NA,NA,"0:46:31.7","N/A",1252
"#52","GOTTARDI ANDREA",NA,NA,"0:46:54.7","N/A",1252
"#53","SEDLENIEKS Ivars",NA,NA,"0:46:56.4","N/A",1252
"#54","ARVIDSSON John",NA,NA,"0:46:59.7","N/A",1252
"#55","Tommola Mika",NA,NA,"0:47:02.6","N/A",1252
"#56","AHONEN Petri",NA,NA,"0:47:18.9","N/A",1252
"#57","VIGNOLI GIOVANNI",NA,NA,"0:47:19.5","N/A",1252
"#58","CASTELLI STEFANO",NA,NA,"0:47:21.5","N/A",1252
"#59","CAPOUSEK Miroslav",NA,NA,"0:48:06.5","N/A",1252
"#60","SACCHI Paolo",NA,NA,"0:48:08.1","N/A",1252
"#61","SAMPOSALO Kai",NA,NA,"0:48:17.5","N/A",1252
"#62","Heiskanen Eero",NA,NA,"0:48:28.6","N/A",1252
"#63","MONACO Matteo",NA,NA,"0:48:50.3","N/A",1252
"#64","PONKALA Risto",NA,NA,"0:49:02.3","N/A",1252
"#65","KOSINSKI Daniel",NA,NA,"0:49:20.0","N/A",1252
"#66","KIRDYASHIN Dimitry",NA,NA,"0:49:36.7","N/A",1252
"#67","KOLYSHEV Sergey",NA,NA,"0:49:43.3","N/A",1252
"#68","HUBER Thomas",NA,NA,"0:49:52.5","N/A",1252
"#69","ZORZI Antonio",NA,NA,"0:50:01.4","N/A",1252
"#70","KAVKA Jiri",NA,NA,"0:50:23.5","N/A",1252
"#71","LISKA Pavel",NA,NA,"0:50:39.4","N/A",1252
"#72","FACCIN Fabiano",NA,NA,"0:51:21.3","N/A",1252
"#73","SJÖLUND Gunnar",NA,NA,"0:51:23.4","N/A",1252
"#74","Streng  Mika",NA,NA,"0:51:25.6","N/A",1252
"#75","MATTILA Voitto",NA,NA,"0:51:27.9","N/A",1252
"#76","ZONTA Giandomenico",NA,NA,"0:51:29.6","N/A",1252
"#77","GRUNDBERG Rolf",NA,NA,"0:51:35.5","N/A",1252
"#78","DOMEIJ Jorgen",NA,NA,"0:51:37.3","N/A",1252
"#79","KOHL Andreas",NA,NA,"0:51:44.1","N/A",1252
"#80","SARTORI GIORGIO",NA,NA,"0:52:00.3","N/A",1252
"#81","Marchiori Thomas",NA,NA,"0:52:02.8","N/A",1252
"#82","CARLSSON Robert",NA,NA,"0:52:04.8","N/A",1252
"#83","VOLKER Gramsch",NA,NA,"0:52:06.4","N/A",1252
"#84","RUPIL Giacomino",NA,NA,"0:52:08.8","N/A",1252
"#85","PELLINEN Sami",NA,NA,"0:52:09.4","N/A",1252
"#86","STMANDBERG Johan",NA,NA,"0:52:21.7","N/A",1252
"#87","KRANTZ Magnus",NA,NA,"0:52:26.1","N/A",1252
"#88","BRANDOMARK Davis",NA,NA,"0:52:31.2","N/A",1252
"#89","CASABONA Luigi",NA,NA,"0:52:47.4","N/A",1252
"#90","LAUDATI Graziano",NA,NA,"0:52:54.9","N/A",1252
"#91","Domeij Per-Åke",NA,NA,"0:53:56.1","N/A",1252
"#92","GIULINO Nicola",NA,NA,"0:53:56.6","N/A",1252
"#93","TAMM Claes",NA,NA,"0:53:57.0","N/A",1252
"#94","KORKKA Tommi",NA,NA,"0:54:02.8","N/A",1252
"#95","CALVARUSO Marco",NA,NA,"0:54:14.6","N/A",1252
"#96","MODENA GABRIELE",NA,NA,"0:54:24.6","N/A",1252
"#97","SHAPOCHKIN DIMITRY",NA,NA,"0:54:33.9","N/A",1252
"#98","Heger Zbynek",NA,NA,"0:54:38.6","N/A",1252
"#99","JONSSON Daf",NA,NA,"0:54:48.0","N/A",1252
"#100","COSTANTINI LUIGI",NA,NA,"0:54:58.6","N/A",1252
"#1","DI SOPRA Francesca",NA,NA,"0:41:43.6","N/A",1252
"#2","LINTZÉN Nina",NA,NA,"0:44:45.6","N/A",1252
"#3","ZANON Stefania",NA,NA,"0:47:07.7","N/A",1252
"#4","Böhmová Eva",NA,NA,"0:47:20.2","N/A",1252
"#5","DI GALLO Martina",NA,NA,"0:48:45.0","N/A",1252
"#6","YRJÖLÄ Ulla",NA,NA,"0:52:27.7","N/A",1252
