"event_id","event_name","event_date","year"
"1","Kangaroo Hoppet"," 2001-08-25 42 km FT Women’s ranking","2001"
"2","Jizerská Padesatka"," 2002-01-13 50 km CT Women’s ranking","2002"
"4","Marcialonga"," 2002-01-27 60 km FT Women’s ranking","2002"
"6","Finlandia-hiihto"," 2002-02-23 44 km CT Women’s ranking","2002"
"7","Sapporo Int. Ski Marathon"," 2002-02-10 50 km FT Women’s ranking","2002"
"8","Gatineau Loppet"," 2002-02-17 48 km FT Women’s ranking","2002"
"9","Tartu Maraton"," 2002-02-10 42 km CT Women’s ranking","2002"
"10","La Transjurassienne"," 2002-02-17 54 km FT Women’s ranking","2002"
"11","American Birkebeiner"," 2002-02-23 46,7 km FT Women’s ranking","2002"
"12","Vasaloppet"," 2002-03-03 90 km CT Women’s ranking","2002"
"13","Engadin Skimarathon"," 2002-03-10 42 km FT Women’s ranking","2002"
"14","Birkebeinerrennet"," 2002-03-23 58 km CT Women’s ranking","2002"
"16","Jizerská Padesatka"," 2003-01-12 50 km CT Women’s ranking","2003"
"17","Dolomitenlauf"," 2003-01-19 42 km FT Women’s ranking","2003"
"18","Marcialonga"," 2003-01-26 60 km CT Women’s ranking","2003"
"19","König Ludwig Lauf"," 2003-02-02 49 km CT Women’s ranking","2003"
"20","Finlandia-hiihto"," 2003-02-22 60 km CT Women’s ranking","2003"
"21","Sapporo Int. Ski Marathon"," 2003-02-09 50 km FT Women’s ranking","2003"
"22","Gatineau Loppet"," 2003-02-16 50 km FT Women’s ranking","2003"
"23","La Transjurassienne"," 2003-02-16 76 km FT Women’s ranking","2003"
"24","American Birkebeiner"," 2003-02-22 51 km FT Women’s ranking","2003"
"25","Tartu Maraton"," 2003-02-09 63 km CT Women’s ranking","2003"
"26","Vasaloppet"," 2003-03-02 90 km CT Women’s ranking","2003"
"27","Engadin Skimarathon"," 2003-03-09 42 km FT Women’s ranking","2003"
"28","Birkebeinerrennet"," 2003-03-22 58 km CT Women’s ranking","2003"
"29","Kangaroo Hoppet Australian Birkebeiner","2001-08-25 21 km FT Women’s ranking","2001"
"30","Tartu Maraton Open Track","2002-02-03 47 km FT Women’s ranking","2002"
"31","Tartu Maraton"," 2002-02-10 29 km CT Women’s ranking","2002"
"32","Tartu Maraton Open Track","2002-02-03 16 km FT Women’s ranking","2002"
"33","Tartu Maraton"," 2001-02-25 63 km CT Women’s ranking","2001"
"34","Finlandia-hiihto"," 2000-02-26 53 km CT Women’s ranking","2000"
"36","Gatineau Loppet"," 2002-02-16 50 km CT Women’s ranking","2002"
"37","Vasaloppet Öppet Spår","2002-02-24 90 km CT Women’s ranking","2002"
"38","Vasaloppet Öppet Spår","2002-02-25 90 km CT Women’s ranking","2002"
"39","Jizerská Padesatka"," 2002-01-10 30 km FT Women’s ranking","2002"
"40","Jizerská Padesatka"," 2002-01-13 25 km CT Women’s ranking","2002"
"44","Marcialonga"," 2002-01-27 31 km FT Women’s ranking","2002"
"47","Finlandia-hiihto"," 2002-02-23 30 km CT Women’s ranking","2002"
"48","Sapporo Int. Ski Marathon"," 2002-02-10 25 km FT Women’s ranking","2002"
"49","Gatineau Loppet"," 2002-02-16 25 km CT Women’s ranking","2002"
"50","Gatineau Loppet"," 2002-02-17 25 km FT Women’s ranking","2002"
"51","La Transjurassienne La Mini-Trans","2002-02-16 25 km FT Women’s ranking","2002"
"52","La Transjurassienne Women’s Race","2002-02-17 39 km FT Women’s ranking","2002"
"54","American Birkebeiner Korteloppet","2002-02-23 23 km FT Women’s ranking","2002"
"55","Vasaloppet TjejVasan (competition class)","2002-02-23 30 km CT Women’s ranking","2002"
"56","Vasaloppet KortVasan","2002-02-22 30 km CT Women’s ranking","2002"
"57","Vasaloppet HalvVasan","2002-02-26 45 km CT Women’s ranking","2002"
"60","Jizerská Padesatka"," 2003-01-09 30 km FT Women’s ranking","2003"
"61","Jizerská Padesatka"," 2003-01-12 25 km CT Women’s ranking","2003"
"63","Dolomitenlauf Lienz-Lauf","2003-01-19 25 km FT Women’s ranking","2003"
"64","Marcialonga Lavazeloppet","2003-01-23 20 km CT Women’s ranking","2003"
"66","Marcialonga"," 2003-01-26 31 km CT Women’s ranking","2003"
"67","König Ludwig Lauf"," 2003-02-01 23 km FT Women’s ranking","2003"
"68","König Ludwig Lauf"," 2003-02-02 23 km CT Women’s ranking","2003"
"69","Tartu Maraton Open Track","2003-02-02 31 km FT Women’s ranking","2003"
"71","Tartu Maraton"," 2003-02-09 31 km CT Women’s ranking","2003"
"72","Sapporo Int. Ski Marathon"," 2003-02-09 25 km FT Women’s ranking","2003"
"73","La Transjurassienne La Mini Trans","2003-02-15 25 km FT Women’s ranking","2003"
"74","La Transjurassienne Women’s Race","2003-02-16 46 km FT Women’s ranking","2003"
"75","Gatineau Loppet"," 2003-02-16 25 km FT Women’s ranking","2003"
"76","Gatineau Loppet"," 2003-02-15 25 km CT Women’s ranking","2003"
"77","American Birkebeiner Korteloppet","2003-02-22 23 km FT Women’s ranking","2003"
"78","Finlandia-hiihto"," 2003-02-22 30 km CT Women’s ranking","2003"
"79","Vasaloppet TjejVasan (leisure class)","2003-02-22 30 km CT Women’s ranking","2003"
"80","Vasaloppet KortVasan","2003-02-21 30 km CT Women’s ranking","2003"
"82","Vasaloppet SkejtVasan","2003-02-28 30 km FT Women’s ranking","2003"
"83","König Ludwig Lauf"," 2003-02-01 49 km FT Women’s ranking","2003"
"84","Tartu Maraton Open Track","2003-02-02 63 km FT Women’s ranking","2003"
"86","Gatineau Loppet"," 2003-02-15 45 km CT Women’s ranking","2003"
"87","Vasaloppet Öppet Spår","2003-02-23 90 km CT Women’s ranking","2003"
"88","Dolomitenlauf"," 2001-01-21 50 km FT Women’s ranking","2001"
"89","Dolomitenlauf Dolomiten-Classic-Race","2001-01-20 30 km CT Women’s ranking","2001"
"90","Dolomitenlauf Lienz-Lauf","2001-01-21 25 km FT Women’s ranking","2001"
"91","Kangaroo Hoppet"," 2000-08-26 42 km FT Women’s ranking","2000"
"92","Kangaroo Hoppet Australian Birkebeiner","2000-08-26 21 km FT Women’s ranking","2000"
"93","American Birkebeiner"," 2001-02-24 51 km FT Women’s ranking","2001"
"94","American Birkebeiner Korteloppet","2001-02-24 23 km FT Women’s ranking","2001"
"96","Birkebeinerrennet"," 2001-03-17 58 km CT Women’s ranking","2001"
"147","Vasaloppet Öppet Spår","2003-02-24 90 km CT Women’s ranking","2003"
"148","Vasaloppet HalvVasan","2003-02-25 45 km CT Women’s ranking","2003"
"149","Kangaroo Hoppet"," 2003-08-30 21 km FT Women’s ranking","2003"
"150","Jizerská Padesatka"," 2004-01-11 50 km CT Women’s ranking","2004"
"151","Dolomitenlauf"," 2004-01-18 50 km FT Women’s ranking","2004"
"152","Marcialonga"," 2004-01-25 70 km CT Women’s ranking","2004"
"153","König Ludwig Lauf"," 2004-01-31 50 km FT Women’s ranking","2004"
"154","König Ludwig Lauf"," 2004-02-01 50 km CT Women’s ranking","2004"
"155","Tartu Maraton Open Track","2004-02-01 63 km FT Women’s ranking","2004"
"157","Sapporo Int. Ski Marathon"," 2004-02-08 50 km FT Women’s ranking","2004"
"158","Gatineau Loppet"," 2004-02-14 53 km CT Women’s ranking","2004"
"159","Gatineau Loppet"," 2004-02-15 42,5 km FT Women’s ranking","2004"
"160","La Transjurassienne"," 2004-02-15 76 km FT Women’s ranking","2004"
"161","American Birkebeiner"," 2004-02-21 51 km FT Women’s ranking","2004"
"162","Finlandia-hiihto"," 2004-02-21 60 km CT Women’s ranking","2004"
"163","Vasaloppet Öppet Spår","2004-02-29 90 km CT Women’s ranking","2004"
"164","Vasaloppet Öppet Spår","2004-03-01 90 km CT Women’s ranking","2004"
"165","Vasaloppet"," 2004-03-07 90 km CT Women’s ranking","2004"
"166","Engadin Skimarathon"," 2004-03-14 42 km FT Women’s ranking","2004"
"167","Birkebeinerrennet"," 2004-03-20 54 km CT Women’s ranking","2004"
"168","Kangaroo Hoppet Australian Birkebeiner","2003-08-30 14 km FT Women’s ranking","2003"
"170","Jizerská Padesatka"," 2004-01-11 25 km CT Women’s ranking","2004"
"174","Marcialonga"," 2004-01-25 45 km CT Women’s ranking","2004"
"175","König Ludwig Lauf"," 2004-01-31 23 km FT Women’s ranking","2004"
"176","König Ludwig Lauf"," 2004-02-01 23 km CT Women’s ranking","2004"
"177","Tartu Maraton Open Track","2004-02-01 31 km FT Women’s ranking","2004"
"179","Sapporo Int. Ski Marathon"," 2004-02-08 25 km FT Women’s ranking","2004"
"180","La Transjurassienne La Mini-Trans","2004-02-14 25 km FT Women’s ranking","2004"
"181","La Transjurassienne Women’s Race","2004-02-15 50 km FT Women’s ranking","2004"
"182","Gatineau Loppet"," 2004-02-14 23,5 km CT Women’s ranking","2004"
"183","Gatineau Loppet"," 2004-02-15 29,5 km FT Women’s ranking","2004"
"184","American Birkebeiner Kortelopet","2004-02-21 23 km FT Women’s ranking","2004"
"185","Finlandia-hiihto"," 2004-02-21 30 km CT Women’s ranking","2004"
"186","Vasaloppet KortVasan","2004-02-27 30 km CT Women’s ranking","2004"
"187","Vasaloppet TjejVasan (competition class)","2004-02-28 30 km CT Women’s ranking","2004"
"192","Tartu Maraton FIS Marathon Cup competition","2002-02-10 27 km CT Women’s ranking","2002"
"193","Vasaloppet TjejVasan (leisure class)","2002-02-23 30 km CT Women’s ranking","2002"
"196","Tartu Maraton Open Track","2000-02-06 47 km FT Women’s ranking","2000"
"197","Tartu Maraton Open Track","2000-02-06 15 km FT Women’s ranking","2000"
"198","Tartu Maraton"," 2001-02-25 31 km CT Women’s ranking","2001"
"199","Tartu Maraton Open Track","2001-02-18 50 km FT Women’s ranking","2001"
"200","Tartu Maraton Open Track","2001-02-18 25 km FT Women’s ranking","2001"
"201","Tartu Maraton"," 1995-02-12 60 km CT Women’s ranking","1995"
"202","Tartu Maraton"," 1996-02-11 60 km CT Women’s ranking","1996"
"203","Tartu Maraton"," 1997-02-09 65 km CT Women’s ranking","1997"
"204","Tartu Maraton"," 1998-02-08 63 km CT Women’s ranking","1998"
